Number,Experiment,Particle_type,Species,Trial,O2_uptake_rate (µmol L-1 h-1),Normalized,oxygen_slope_per_day,Carbon(µg),Carbon(µmol),Carbon_turnover_rate,Average
166,GHFP3,Faecal pellet,G.huxleyi ,1,-0.151706994,0.054066681,1.297600344,0,1.086,0.0239,
144,GHFP3,Faecal pellet,G.huxleyi ,2,-0.071322654,-0.026317659,0,1.2056,0.1004,0,
122,GHFP3,Faecal pellet,G.huxleyi ,3,-0.038763249,-0.058877063,0,21.1068,1.7574,0,
120,GHFP3,Faecal pellet,G.huxleyi ,4,0.003190921,-0.100831234,0,18.9424,1.5772,0,
169,GHFP3,Faecal pellet,G.huxleyi ,5,-0.24311099,0.145470678,3.491296272,9.5664,0.7965,0.0877,
131,SKA1,Aggregate,Skeletonema sp. ,1,-0.085306931,-0.101989392,0,4.2992,0.358,0,
157,SKA1,Aggregate,Skeletonema sp. ,2,-0.067649222,-0.1196471,0,0,0.812,0,0.81184
156,SKA1,Aggregate,Skeletonema sp. ,3,-0.102555163,-0.08474116,0,0,0.812,0,
128,SKA1,Aggregate,Skeletonema sp. ,4,-0.138027581,-0.049268741,0,10.7268,0.8932,0,
162,SKA1,Aggregate,Skeletonema sp. ,5,-0.306358557,0.119062235,2.85749364,0,0.812,0.0704,
139,SKA2,Aggregate,Skeletonema sp. ,1,-0.157890837,0.044230204,1.061524896,0.938,0.0781,0.2718,
135,SKA2,Aggregate,Skeletonema sp. ,2,-0.042540724,-0.07111991,0,33.6052,2.7981,0,
138,SKA2,Aggregate,Skeletonema sp. ,3,-0.11800509,0.004344457,0.104266968,15.2224,1.2675,0.0016,
137,SKA2,Aggregate,Skeletonema sp. ,4,-0.105404977,-0.008255656,0,7.838,0.6526,0,
140,SKA2,Aggregate,Skeletonema sp. ,5,-0.291167781,0.177507148,4.260171552,8.4936,0.7072,0.1205,
146,SKA3,Aggregate,Skeletonema sp. ,1,-0.684173813,0.606554272,14.55730253,1.251,0.1042,2.7941,
168,SKA3,Aggregate,Skeletonema sp. ,2,-0.599830775,0.522211234,12.53306962,3.188,0.2654,0.9445,
150,SKA3,Aggregate,Skeletonema sp. ,3,-1.228267405,1.150647864,27.61554874,0,0.812,0.6802,
149,SKA3,Aggregate,Skeletonema sp. ,4,-1.272687579,1.195068038,28.68163291,11.9392,0.9941,0.577,
167,SKA3,Aggregate,Skeletonema sp. ,5,-0.678521835,0.600902294,14.42165506,0,0.812,0.3552,
141,SKFP1,Faecal pellet,Skeletonema sp. ,1,-0.284212664,0.404191812,9.700603488,11.895,0.9904,0.1959,1.94005
143,SKFP1,Faecal pellet,Skeletonema sp. ,2,-0.372136354,0.492115502,11.81077205,0,1.94,0.1218,
133,SKFP1,Faecal pellet,Skeletonema sp. ,3,-0.413705677,0.533684825,12.8084358,0,1.94,0.132,
151,SKFP1,Faecal pellet,Skeletonema sp. ,4,-0.655827293,0.775806441,18.61935458,18.6304,1.5512,0.2401,
152,SKFP1,Faecal pellet,Skeletonema sp. ,5,-1.034498144,1.154477293,27.70745503,0,1.94,0.2856,
121,SKFP2,Faecal pellet,Skeletonema sp. ,1,-1.523985992,1.639923346,39.3581603,29.7784,2.4795,0.3175,
127,SKFP2,Faecal pellet,Skeletonema sp. ,2,-1.971359922,2.087297276,50.09513462,14.2416,1.1858,0.8449,
132,SKFP2,Faecal pellet,Skeletonema sp. ,3,-1.894305837,2.010243191,48.24583658,12.8168,1.0672,0.9042,
130,SKFP2,Faecal pellet,Skeletonema sp. ,4,-1.585235409,1.701172763,40.82814631,58.9358,4.9072,0.1664,0.468315195
134,SKFP2,Faecal pellet,Skeletonema sp. ,5,-1.363601946,1.4795393,35.5089432,1.5132,0.126,5.6363,
116,SKFP3,Faecal pellet,Skeletonema sp. ,1,-0.826741843,1.008480292,24.20352701,0,1.94,0.2495,
142,SKFP3,Faecal pellet,Skeletonema sp. ,2,-0.931031353,1.112769802,26.70647525,0,1.94,0.2753,
118,SKFP3,Faecal pellet,Skeletonema sp. ,3,-0.700416582,0.882155031,21.17172074,34.0344,2.8338,0.1494,
119,SKFP3,Faecal pellet,Skeletonema sp. ,4,-0.944690594,1.126429043,27.03429703,5.0212,0.4181,1.2932,
117,SKFP3,Faecal pellet,Skeletonema sp. ,5,-0.645067657,0.826806106,19.84334654,46.1336,3.8413,0.1033,
